City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
143,Natchez,US,78.8,scattered clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
144,Laguna,US,75.99,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
152,Faanui,PF,82.09,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
160,Balkanabat,TM,75.69,broken clouds,39.5108,54.3671,Nebitchi Hotel
162,Alofi,NU,78.8,scattered clouds,-19.0595,-169.9187,Taloa Heights
172,Sambava,MG,75.72,light rain,-14.2667,50.1667,Melrose
174,Avarua,CK,82.4,scattered clouds,-21.2078,-159.775,Paradise Inn
177,Puerto Ayora,EC,80.01,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
183,Leon,MX,87.8,clear sky,21.1167,-101.6667,Hotel Misión León
186,Salinopolis,BR,80.55,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
187,Carutapera,BR,78.31,moderate rain,-1.195,-46.02,Lidera
188,Bambous Virieux,MU,80.01,few clouds,-20.3428,57.7575,Casa Tia Villa
189,Jodhpur,IN,80.24,scattered clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
191,Jiwani,PK,78.44,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
192,Olongapo,PH,75.2,few clouds,14.8292,120.2828,Subic Coco Hotel
194,Noumea,NC,78.01,light rain,-22.2763,166.4572,Hôtel Le Lagon
197,Benito Juarez,MX,82.4,few clouds,19.385,-99.165,Hotel Novit
198,Manta,EC,84.2,few clouds,-0.95,-80.7333,Balandra Hotel
199,Cockburn Town,TC,77.0,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
200,Hithadhoo,MV,83.14,broken clouds,-0.6,73.0833,Scoop Guest House
207,Nha Trang,VN,75.2,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
212,Rosario Oeste,BR,83.03,scattered clouds,-14.8361,-56.4275,ARLS Cavaleiros da Fraternidade n°67
217,Bengkulu,ID,75.09,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
218,Sola,VU,80.28,overcast clouds,-13.8833,167.55,Leumerus Bungalows
219,Mabaruma,GY,79.32,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
223,San Patricio,US,88.0,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
