City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Hilo,US,2021-04-07 23:17:05,19.7297,-155.09,77.0,57,90,9.22
120,Digby,CA,2021-04-07 23:20:06,44.6169,-65.7655,44.6,81,99,6.91
121,Elat,IL,2021-04-07 23:19:49,29.5581,34.9482,77.0,16,0,13.8
122,Tarrafal,CV,2021-04-07 23:20:06,15.2833,-23.7667,73.4,56,0,20.71
123,Hofn,IS,2021-04-07 23:16:06,64.2539,-15.2082,27.5,74,100,23.24
124,Oranjestad,AW,2021-04-07 23:16:21,12.524,-70.027,80.6,83,20,19.57
125,Kankon,IN,2021-04-07 23:20:07,15.0167,74.0167,82.08,73,92,3.8
126,Saint-Philippe,RE,2021-04-07 23:20:07,-21.3585,55.7679,77.0,78,0,6.91
127,Laguna,US,2021-04-07 23:20:07,38.421,-121.4238,72.0,24,1,12.66
128,Ovsyanka,RU,2021-04-07 23:20:08,55.9575,92.5519,33.8,64,0,6.71
129,Khatanga,RU,2021-04-07 23:20:08,71.9667,102.5,-19.1,100,99,1.99
130,Beringovskiy,RU,2021-04-07 23:20:09,63.05,179.3167,2.39,87,95,10.22
131,Calbuco,CL,2021-04-07 23:20:09,-41.768,-73.1273,55.4,94,90,6.91
132,Atambua,ID,2021-04-07 23:17:02,-9.1061,124.8925,75.24,83,44,2.33
133,Kangaba,ML,2021-04-07 23:20:10,11.9333,-8.4167,86.58,13,94,2.53
134,Kidal,ML,2021-04-07 23:20:14,18.4411,1.4078,85.21,8,100,10.09
135,Rajapalaiyam,IN,2021-04-07 23:20:15,9.45,77.5667,76.28,62,15,2.01
136,Atuona,PF,2021-04-07 23:15:38,-9.8,-139.0333,80.76,71,12,15.48
137,Los Llanos De Aridane,ES,2021-04-07 23:20:15,28.6585,-17.9182,68.0,88,40,6.91
138,Meulaboh,ID,2021-04-07 23:20:16,4.1363,96.1285,75.15,89,93,3.8
139,Kloulklubed,PW,2021-04-07 23:20:16,7.0419,134.2556,84.2,74,75,5.75
140,Santa Ines,BR,2021-04-07 23:18:00,-3.6667,-45.38,76.68,81,30,2.01
141,Castro,BR,2021-04-07 23:20:17,-24.7911,-50.0119,59.79,92,40,9.31
142,Te Anau,NZ,2021-04-07 23:20:17,-45.4167,167.7167,56.64,59,8,1.52
143,Kupang,ID,2021-04-07 23:20:18,-10.1667,123.5833,78.15,83,33,3.74
144,Torbay,CA,2021-04-07 23:20:18,47.6666,-52.7314,39.0,100,90,11.5
145,Vanavara,RU,2021-04-07 23:20:18,60.34,102.2797,23.0,98,76,3.47
146,Souillac,MU,2021-04-07 23:20:19,-20.5167,57.5167,78.8,83,75,8.05
147,Labuan,MY,2021-04-07 23:20:19,5.2767,115.2417,78.8,94,40,8.81
148,Kiama,AU,2021-04-07 23:20:19,-34.6833,150.8667,73.0,94,32,1.99
149,Obo,CF,2021-04-07 23:20:20,5.3998,26.4869,76.41,54,94,5.7
150,Merauke,ID,2021-04-07 23:20:20,-8.4667,140.3333,75.42,93,100,7.9
151,Puerto Baquerizo Moreno,EC,2021-04-07 23:20:20,-0.9,-89.6,78.8,89,75,6.91
152,Husavik,IS,2021-04-07 23:20:21,66.0449,-17.3389,23.0,80,90,24.16
153,Bilopillya,UA,2021-04-07 23:20:21,51.1502,34.3129,33.78,98,100,12.97
154,Benalla,AU,2021-04-07 23:20:21,-36.55,145.9833,69.01,72,0,3.44
155,Yangambi,CD,2021-04-07 23:20:22,0.8102,24.4336,69.67,98,100,5.32
156,Macau,MO,2021-04-07 23:18:02,22.2006,113.5461,73.4,83,40,11.5
157,Idanre,NG,2021-04-07 23:20:22,7.1127,5.1159,74.84,91,53,2.62
158,Karratha,AU,2021-04-07 23:20:23,-20.7377,116.8463,80.08,63,5,9.19
159,Mandera,KE,2021-04-07 23:20:23,3.9366,41.867,84.85,48,1,7.72
160,Leningradskiy,RU,2021-04-07 23:15:46,69.3833,178.4167,-7.17,92,92,7.56
161,Hovd,MN,2021-04-07 23:17:06,48.0056,91.6419,37.89,39,0,7.54
162,Yizheng,CN,2021-04-07 23:20:24,24.6706,103.4296,49.51,91,26,3.38
163,Hithadhoo,MV,2021-04-07 23:20:24,-0.6,73.0833,82.24,69,61,10.09
164,Kerman,IR,2021-04-07 23:20:24,30.2832,57.0788,46.4,23,0,2.3
165,Gat,IL,2021-04-07 23:16:53,31.61,34.7642,64.99,53,53,4.88
166,Chokurdakh,RU,2021-04-07 23:20:25,70.6333,147.9167,-3.71,87,100,2.39
167,San Policarpo,PH,2021-04-07 23:20:25,12.1791,125.5072,78.64,78,67,5.88
168,Cherskiy,RU,2021-04-07 23:20:26,68.75,161.3,-5.71,91,95,4.5
169,Yarkovo,RU,2021-04-07 23:20:26,57.4028,67.0786,32.2,90,53,6.38
170,Bakel,SN,2021-04-07 23:20:26,14.905,-12.4568,91.81,8,10,6.15
