City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Itacare,BR,-14.2775,-38.9967,77.0,88,75,17.27,broken clouds
142,Korcula,HR,42.9622,17.1369,46.4,66,0,3.44,clear sky
143,Natchez,US,31.5604,-91.4032,78.8,61,40,8.05,scattered clouds
144,Laguna,US,38.421,-121.4238,75.99,40,1,8.05,clear sky
145,Xichang,CN,27.8964,102.2634,52.56,80,2,2.17,clear sky
146,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,26.6,68,0,6.71,clear sky
147,Muzhi,RU,65.3667,64.6667,28.9,87,5,9.75,clear sky
148,Sakakah,SA,29.9697,40.2064,62.6,22,0,13.8,clear sky
149,San Quintin,MX,30.4833,-115.95,65.97,66,72,13.87,broken clouds
150,Richards Bay,ZA,-28.783,32.0377,71.46,82,0,11.83,clear sky
151,Yantal,RU,56.8471,105.2542,6.55,97,43,2.46,scattered clouds
152,Faanui,PF,-16.4833,-151.75,82.09,72,81,11.7,broken clouds
153,Nkhata Bay,MW,-11.6066,34.2907,72.21,81,100,5.77,light rain
154,Rockhampton,AU,-23.3833,150.5,73.4,94,90,4.61,fog
155,Balakliya,UA,49.4627,36.8595,42.8,45,0,4.47,clear sky
156,Halifax,CA,44.6453,-63.5724,53.6,47,89,2.3,overcast clouds
157,Nanortalik,GL,60.1432,-45.2371,36.12,83,89,11.14,overcast clouds
158,Palana,RU,59.1167,159.9667,7.27,94,94,2.57,overcast clouds
159,Sorland,NO,67.667,12.6934,36.03,88,100,26.26,overcast clouds
160,Balkanabat,TM,39.5108,54.3671,75.69,16,73,20.07,broken clouds
161,Camacha,PT,33.0833,-16.3333,64.4,82,20,6.91,few clouds
162,Alofi,NU,-19.0595,-169.9187,78.8,83,40,5.75,scattered clouds
163,Yangjiang,CN,21.85,111.9667,68.85,82,69,6.04,broken clouds
164,Kutum,SD,14.2,24.6667,73.62,9,76,12.66,broken clouds
165,Quang Ngai,VN,15.1167,108.8,73.26,91,43,2.73,scattered clouds
166,Lebu,CL,-37.6167,-73.65,56.43,73,0,11.1,clear sky
167,Catamarca,AR,-28.4696,-65.7852,61.0,99,95,5.01,overcast clouds
168,Arys,KZ,42.4252,68.795,46.4,76,0,4.47,clear sky
169,Constitucion,CL,-35.3333,-72.4167,59.61,66,0,16.51,clear sky
170,Te Anau,NZ,-45.4167,167.7167,55.31,95,99,2.46,overcast clouds
171,Saskylakh,RU,71.9167,114.0833,-4.68,86,43,10.33,scattered clouds
172,Sambava,MG,-14.2667,50.1667,75.72,89,100,7.43,light rain
173,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,40,9.22,scattered clouds
174,Avarua,CK,-21.2078,-159.775,82.4,83,40,4.61,scattered clouds
175,Leeton,AU,-34.5667,146.4,48.2,71,40,10.36,scattered clouds
176,Port Augusta,AU,-32.5,137.7667,59.0,77,75,14.97,broken clouds
177,Puerto Ayora,EC,-0.7393,-90.3518,80.01,94,40,10.36,light rain
178,Qaqortoq,GL,60.7167,-46.0333,44.6,57,20,6.91,few clouds
179,Murchison,NZ,-41.8,172.3333,57.99,96,100,1.36,overcast clouds
180,Upernavik,GL,72.7868,-56.1549,21.74,86,100,7.43,overcast clouds
181,Jennings,US,38.7192,-90.2604,53.6,76,75,25.32,broken clouds
182,Khatanga,RU,71.9667,102.5,11.1,85,100,10.67,overcast clouds
183,Leon,MX,21.1167,-101.6667,87.8,10,1,11.83,clear sky
184,Hauterive,FR,46.0901,3.4459,53.6,58,0,19.57,clear sky
185,Weyburn,CA,49.6668,-103.8511,60.8,18,74,5.75,broken clouds
186,Salinopolis,BR,-0.6136,-47.3561,80.55,78,60,11.68,broken clouds
187,Carutapera,BR,-1.195,-46.02,78.31,83,91,7.47,moderate rain
188,Bambous Virieux,MU,-20.3428,57.7575,80.01,78,20,11.5,few clouds
189,Jodhpur,IN,26.2867,73.03,80.24,9,34,11.03,scattered clouds
190,Dudinka,RU,69.4058,86.1778,29.66,95,98,9.4,overcast clouds
191,Jiwani,PK,25.05,61.7417,78.44,73,0,8.23,clear sky
192,Olongapo,PH,14.8292,120.2828,75.2,83,20,4.61,few clouds
193,Semme,FR,46.1963,1.5007,51.8,93,90,6.91,overcast clouds
194,Noumea,NC,-22.2763,166.4572,78.01,94,75,6.91,light rain
195,Panshi,CN,42.9422,126.0561,45.43,42,100,8.41,overcast clouds
196,Scicli,IT,36.7902,14.7014,51.8,76,80,4.61,broken clouds
197,Benito Juarez,MX,19.385,-99.165,82.4,13,20,6.91,few clouds
198,Manta,EC,-0.95,-80.7333,84.2,79,20,9.22,few clouds
199,Cockburn Town,TC,21.4612,-71.1419,77.0,61,40,13.8,scattered clouds
200,Hithadhoo,MV,-0.6,73.0833,83.14,69,84,12.97,broken clouds
201,Taltal,CL,-25.4,-70.4833,67.33,76,94,6.26,overcast clouds
202,Luau,AO,-10.7073,22.2247,63.0,93,100,4.45,overcast clouds
203,Thompson,CA,55.7435,-97.8558,39.2,56,40,6.91,scattered clouds
204,Mayo,US,38.8876,-76.5119,69.01,88,1,8.05,clear sky
205,Kaputa,ZM,-8.4689,29.6619,67.71,88,100,2.48,light rain
206,Comodoro Rivadavia,AR,-45.8667,-67.5,64.4,39,0,12.66,clear sky
207,Nha Trang,VN,12.25,109.1833,75.2,94,75,3.44,broken clouds
208,Qixingtai,CN,30.4135,111.8874,57.99,87,90,0.81,light rain
209,Nome,US,64.5011,-165.4064,10.0,47,20,19.57,few clouds
210,Dagup,PH,16.6372,120.4456,70.41,79,65,5.01,broken clouds
